sample	blup
p1.A2	0.169853375270091
p1.A3	0.0502717173967734
p1.C12	-0.0189628730775217
p1.C2	0.126501896564277
p1.D11	0.0978732879979178
p1.D2	0.22000288097565
p1.D3	0.0769751257260992
p1.E3	0.135016462015465
p1.E8	-0.106748496217929
p1.F8	-0.184040985943082
p1.G2	-0.14632575282236
p1.G5	0.132587563779288
p1.G8	-0.0601002906846185
p1.H1	0.128191598377367
p12.A11	0.190309611511215
p12.B6	-0.186335261281938
p12.C10	-0.0534022099415584
p12.C2	-0.0808386455950196
p12.C9	0.0925640586238533
p12.D12	0.00396612312687659
p12.E2	-0.0449092149459894
p12.G1	0.229955209727307
p12.G6	0.183428007546162
p12.G7	-0.0864434206173775
p12.H10	0.106302733207455
p12.H6	0.176140901491473
p13.B1	0.183335874457655
p13.B6	-0.0240989502705332
p13.B9	0.155541236045457
p13.C1	0.181872813585448
p13.D10	0.0603700876640305
p13.E11	0.0899355316364431
p13.E3	0.0564266922544522
p13.E7	-0.0235291610195716
p13.F10	0.172613812545734
p13.F2	0.207476855999402
p13.F3	-0.0415720901309357
p13.G2	-0.0981657695126138
p13.G4	0.113049597035865
p13.G7	-0.0842125096572961
p13.G8	-0.275482441066131
p13.H5	-0.00440353823752845
p20.A4	-0.132795156318351
p20.B12	-0.0806527999588343
p20.B3	0.181378036252443
p20.B8	-0.284415658894723
p20.C10	0.185269473748559
p20.C4	-0.203391126463653
p20.D1	0.0347521786328031
p20.E1	0.16990417245153
p20.F10	-0.062580919033635
p20.F9	0.119649855364489
p20.G1	-0.0384779878423262
p20.G3	0.249488679985106
p20.G9	-0.100105727910841
p20.H10	0.0888330704271415
p20.H5	0.069470286213082
p21.A8	-0.189689456281158
p21.B1	-0.0215697023079081
p21.B4	-0.198325392302463
p21.B8	-0.212760772000316
p21.C3	0.285590591760196
p21.D8	-0.202618706937858
p21.D9	-0.230764032812072
p21.E3	0.157562634256586
p21.E5	-0.117149924840324
p21.F2	-0.431791651223902
p21.F4	-0.170183552283047
p21.F9	-0.137471561218282
p21.H4	-0.272900983780196
p22.A1	0.248932916975864
p22.A8	0.149454846157929
p22.B2	0.178515637738123
p22.B5	0.185509650059812
