,sample,blup
2,p1.A2,0.169853375270091
3,p1.A3,0.0502717173967734
4,p1.C12,-0.0189628730775217
5,p1.C2,0.126501896564277
6,p1.D11,0.0978732879979178
7,p1.D2,0.22000288097565
8,p1.D3,0.0769751257260992
9,p1.E3,0.135016462015465
10,p1.E8,-0.106748496217929
11,p1.F8,-0.184040985943082
12,p1.G2,-0.14632575282236
13,p1.G5,0.132587563779288
14,p1.G8,-0.0601002906846185
15,p1.H1,0.128191598377367
16,p12.A11,0.190309611511215
17,p12.B6,-0.186335261281938
18,p12.C10,-0.0534022099415584
19,p12.C2,-0.0808386455950196
20,p12.C9,0.0925640586238533
21,p12.D12,0.00396612312687659
22,p12.E2,-0.0449092149459894
23,p12.G1,0.229955209727307
24,p12.G6,0.183428007546162
25,p12.G7,-0.0864434206173775
26,p12.H10,0.106302733207455
27,p12.H6,0.176140901491473
28,p13.B1,0.183335874457655
29,p13.B6,-0.0240989502705332
30,p13.B9,0.155541236045457
31,p13.C1,0.181872813585448
32,p13.D10,0.0603700876640305
33,p13.E11,0.0899355316364431
34,p13.E3,0.0564266922544522
35,p13.E7,-0.0235291610195716
36,p13.F10,0.172613812545734
37,p13.F2,0.207476855999402
38,p13.F3,-0.0415720901309357
39,p13.G2,-0.0981657695126138
40,p13.G4,0.113049597035865
41,p13.G7,-0.0842125096572961
42,p13.G8,-0.275482441066131
43,p13.H5,-0.00440353823752845
44,p20.A4,-0.132795156318351
45,p20.B12,-0.0806527999588343
46,p20.B3,0.181378036252443
47,p20.B8,-0.284415658894723
48,p20.C10,0.185269473748559
49,p20.C4,-0.203391126463653
50,p20.D1,0.0347521786328031
51,p20.E1,0.16990417245153
52,p20.F10,-0.062580919033635
53,p20.F9,0.119649855364489
54,p20.G1,-0.0384779878423262
55,p20.G3,0.249488679985106
56,p20.G9,-0.100105727910841
57,p20.H10,0.0888330704271415
58,p20.H5,0.069470286213082
59,p21.A8,-0.189689456281158
60,p21.B1,-0.0215697023079081
61,p21.B4,-0.198325392302463
62,p21.B8,-0.212760772000316
63,p21.C3,0.285590591760196
64,p21.D8,-0.202618706937858
65,p21.D9,-0.230764032812072
66,p21.E3,0.157562634256586
67,p21.E5,-0.117149924840324
68,p21.F2,-0.431791651223902
69,p21.F4,-0.170183552283047
70,p21.F9,-0.137471561218282
71,p21.H4,-0.272900983780196
72,p22.A1,0.248932916975864
73,p22.A8,0.149454846157929
74,p22.B2,0.178515637738123
75,p22.B5,0.185509650059812
76,p22.C1,-0.111375949651208
77,p22.C3,-0.281173057003607
78,p22.D1,0.104811758848308
79,p22.D2,0.157595795997163
80,p22.D4,0.113416506091771
81,p22.D5,0.291462370108648
82,p22.D7,0.207278427885179
83,p22.D8,-0.280259729094429
84,p22.E7,-0.266901602011798
85,p22.F1,0.0789153399959899
86,p22.G7,-0.0333191733012355
87,p22.H4,0.227332913219334
88,p23.A2,-0.820462109598578
89,p23.A3,-0.00974299067372179
90,p23.A7,0.0135337791441626
91,p23.B1,0.0356457245733421
92,p23.B2,-0.336899810817493
93,p23.B3,-0.203926649795761
94,p23.B6,0.0448275415775649
95,p23.B8,-0.0327044152112794
96,p23.C2,-0.023564528260912
97,p23.C3,-0.208212487198697
98,p23.C4,0.0203710431861752
99,p23.C9,-0.0379272982045584
100,p23.D4,0.0579376236838816
101,p23.D7,-0.00722416217931215
102,p23.E7,-0.0869805916500253
103,p23.E9,0.142583108355491
104,p23.G5,-0.00585919214090121
105,p23.G9,0.0279969504942361
106,p24.B10,0.17591345816604
107,p24.B3,0.213933491246072
108,p24.B4,-0.294912997355953
109,p24.B5,0.139880073170767
110,p24.B7,0.223108426173632
111,p24.C4,-0.0200492659052729
112,p24.D11,0.165002871303281
113,p24.D3,0.133043021548559
114,p24.D7,0.0821196717981425
115,p24.E11,0.232588854426308
116,p24.F7,0.243588494658136
117,p24.G4,-0.147091763037154
118,p24.H2,0.252917784666413
119,p25.A12,-0.394874470817387
120,p25.A3,0.191471839926699
121,p25.A4,-0.160463834219577
122,p25.A8,-0.105751790087361
123,p25.B1,-0.15616492145747
124,p25.B2,0.133115995493422
125,p25.B9,-0.216835311922179
126,p25.C11,0.0895622278339481
127,p25.C2,-0.055547659829202
128,p25.D2,0.143708375767044
129,p25.D3,0.14410364681051
130,p25.D7,-0.170374475993742
131,p25.E3,0.116845239805641
132,p25.E8,-0.182112341049168
133,p25.F9,-0.209297091371045
134,p25.G3,0.100510460940075
135,p25.H10,0.0616917750175296
136,p25.H4,-0.139410464731944
137,p26.A5,-0.685470387141003
138,p26.A8,0.184169964364654
139,p26.B1,0.0234530771340022
140,p26.B10,-0.120339441487405
141,p26.B7,0.0620438718773881
142,p26.B8,0.106157672670061
143,p26.D2,0.119792453136873
144,p26.D4,0.114713585485674
145,p26.D6,0.0145120872593713
146,p26.D7,0.0510799269382195
147,p26.D8,-0.11765898970196
148,p26.E7,0.19894456304178
149,p3.A3,0.0555348306141084
150,p3.B7,-0.0100735971033803
151,p3.D2,0.178808036243201
152,p3.E2,-0.154126434323675
153,p3.E6,0.062156131582089
154,p3.E8,-0.0767239705521036
155,p3.F12,-0.00890296618673047
156,p3.F8,-0.0879654587349791
157,p3.G1,0.0726195672382176
158,p3.G9,-0.229700405701615
159,p4.A10,-0.155408958823589
160,p4.A5,0.0290002333449196
161,p4.A6,-0.159761708609641
162,p4.A9,-0.178289390447999
163,p4.B7,-0.261855072488803
164,p4.D2,-0.409449719883129
165,p4.E5,0.224383666248445
166,p4.E6,0.200790312726022
167,p4.F10,0.179551802287252
168,p4.F11,0.15763239831072
169,p4.F5,0.251534360768588
170,p4.G8,-0.111469247367843
171,p5.B3,0.0710721206209302
172,p5.B4,0.0180268843870751
173,p5.B9,-0.753203693718756
174,p5.C1,0.200916496555804
175,p5.C3,0.171369136418951
176,p5.C8,0.0251364967492774
177,p5.D5,-0.176052247141069
178,p5.F7,-0.205413976229989
179,p5.H11,0.117255079519146
180,p6.A7,-0.206427585590279
181,p6.A8,-0.140661857337349
182,p6.A9,-0.095165251539458
183,p6.B2,0.252700284067786
184,p6.B7,-0.0270095419543968
185,p6.C2,-0.19162270735939
186,p6.D1,-0.308275941091468
187,p6.D6,0.214692951991236
188,p6.D7,0.242290548735908
189,p6.D8,0.296826584512269
190,p6.E1,0.175143464599565
191,p6.E6,0.156010978806334
