sample	blups
p1.A2	0.9856577311294574
p1.A3	0.8126488701685021
p1.C12	0.7176884256754098
p1.C2	0.9216563017459116
p1.D11	0.8801828867761435
p1.D2	1.061460445586352
p1.D3	0.8503127912529397
p1.E3	0.9341134029481186
p1.E8	0.603083212291263
p1.F8	0.5078310266213389
p1.G2	0.5536282603009843
p1.G5	0.9305541602601801
p1.G8	0.6631566377436792
p1.H1	0.9241239576777197
p12.A11	1.0163518245493188
p12.B6	0.5050878646481082
p12.C10	0.6719374401414258
p12.C2	0.6362152752112195
p12.C9	0.8725617745234852
p12.D12	0.748700798676002
p12.E2	0.6831264896865822
p12.G1	1.0767250702057405
p12.G6	1.0059911421406753
p12.G7	0.6289982259304683
p12.H10	0.8923281909198844
p12.H6	0.9950585951787224
p13.B1	1.0058526702429471
p13.B6	0.710801831629114
p13.B9	0.9643700228717833
p13.C1	1.0036546071936854
p13.D10	0.8268252388677718
p13.E11	0.8687968498556857
p13.E3	0.8212796690964533
p13.E7	0.7115647288177603
p13.F10	0.9897813661434309
p13.F2	1.0423519037945095
p13.F3	0.6875397948076029
p13.G2	0.6139928383503256
p13.G4	0.9020890955234157
p13.G7	0.631867594179452
p13.G8	0.40242965349924653
p13.H5	0.7373298547022181
p20.A4	0.5703769370207802
p20.B12	0.6364550511500014
p20.B3	1.0029116298826453
p20.B8	0.3925772721330943
p20.C10	1.008760115414559
p20.C4	0.4848509475244618
p20.D1	0.7910220515619792
p20.E1	0.9857335618449812
p20.F10	0.6599144574350455
p20.F9	0.9116720920560265
p20.G1	0.6916401607921593
p20.G3	1.106895412974355
p20.G9	0.6115212300401308
p20.H10	0.8672193748817579
p20.H5	0.8396701643915999
p21.A8	0.5010863281407744
p21.B1	0.7141903510679052
p21.B4	0.4908326588338341
p21.B8	0.473851737324327
p21.C3	1.1633827670932768
p21.D8	0.48576145410277155
p21.D9	0.4529549687861886
p21.E3	0.9673672230144504
p21.E5	0.5899494907471726
p21.F2	0.2424040574568197
p21.F4	0.5245046242862736
p21.F9	0.5645695026040992
p21.H4	0.40529185155179737
p22.A1	1.1060331758996038
p22.A8	0.955364256108902
p22.B2	0.9986169400103354
p22.B5	1.009121450378655
p22.C1	0.5972282979935454
p22.C3	0.39614409961268604
p22.D1	0.8901759300861499
p22.D2	0.967416418967718
p22.D4	0.9026209287895022
p22.D5	1.1726584075102218
p22.D7	1.0420501322438895
p22.D8	0.397150690060722
p22.E7	0.4119697422801318
p22.F1	0.8530714739288928
p22.G7	0.6984947701955879
p22.H4	1.0726960128896683
p23.A2	1.0000000000000002e-6
p23.A3	0.7301060900663772
p23.A7	0.7617701851457142
p23.B1	0.7922619451123701
p23.B2	0.3363669780766564
p23.B3	0.4842200218916471
p23.B6	0.8050401600583227
p23.B8	0.6993131118612722
p23.C2	0.7115173672832867
p23.C3	0.4791805498808665
p23.C4	0.771155945952641
p23.C9	0.6923707972384205
p23.D4	0.823403011348392
p23.D7	0.7335108682877987
p23.E7	0.628307974172331
p23.E9	0.9452303527783954
p23.G5	0.7353581452664113
p23.G9	0.781669402205479
p24.B10	0.9947180124952159
p24.B3	1.0521870983268942
p24.B4	0.38110434736457666
p24.B5	0.9412540093518197
p24.B7	1.0662158501751369
p24.C4	0.7162299150739218
p24.D11	0.9784257990327967
p24.D3	0.9312212308591513
p24.D7	0.857634051533761
p24.E11	1.080776628080887
p24.F7	1.0977530286148356
p24.G4	0.5526850500531727
p24.H2	1.1122204399281925
p25.A12	0.27773880260012274
p25.A3	1.0181051218352104
p25.A4	0.5363062981069371
p25.A8	0.6043467911256141
p25.B1	0.5415538886439808
p25.B2	0.9313281244536321
